State or territory,variable,value
District of Columbia,2017,82372
Maryland,2017,80776
New Jersey,2017,80088
Hawaii,2017,77765
Massachusetts,2017,77385
Connecticut,2017,74168
New Hampshire,2017,73381
Alaska,2017,73181
California,2017,71805
Virginia,2017,71535
Washington,2017,70979
Colorado,2017,69117
Minnesota,2017,68388
Utah,2017,65358
New York,2017,64894
Rhode Island,2017,63870
Illinois,2017,62992
Delaware,2017,62852
North Dakota,2017,61843
Wyoming,2017,60434
United States,2017,60336
Oregon,2017,60212
Nebraska,2017,59970
Wisconsin,2017,59305
Texas,2017,59206
Pennsylvania,2017,59105
Iowa,2017,58570
Nevada,2017,58003
Vermont,2017,57513
Arizona,2017,56581
South Dakota,2017,56521
Kansas,2017,56422
Georgia,2017,56183
Maine,2017,55277
Michigan,2017,54909
Indiana,2017,54181
Ohio,2017,54021
Missouri,2017,53578
Montana,2017,53386
North Carolina,2017,52752
Florida,2017,52594
Idaho,2017,52225
Tennessee,2017,51340
South Carolina,2017,50570
Oklahoma,2017,50051
Kentucky,2017,48375
Alabama,2017,48123
New Mexico,2017,46744
Louisiana,2017,46145
Arkansas,2017,45869
Mississippi,2017,43529
West Virginia,2017,43469
Puerto Rico,2017,19343
District of Columbia,2016,75506
Maryland,2016,78945
New Jersey,2016,76126
Hawaii,2016,74511
Massachusetts,2016,75297
Connecticut,2016,73433
New Hampshire,2016,70936
Alaska,2016,76440
California,2016,67739
Virginia,2016,68114
Washington,2016,67106
Colorado,2016,65685
Minnesota,2016,65599
Utah,2016,65977
New York,2016,62909
Rhode Island,2016,60596
Illinois,2016,60960
Delaware,2016,61757
North Dakota,2016,60656
Wyoming,2016,59882
United States,2016,57617
Oregon,2016,57532
Nebraska,2016,56927
Wisconsin,2016,56811
Texas,2016,56565
Pennsylvania,2016,56907
Iowa,2016,56247
Nevada,2016,55180
Vermont,2016,57677
Arizona,2016,53558
South Dakota,2016,54467
Kansas,2016,54935
Georgia,2016,53559
Maine,2016,53079
Michigan,2016,52491
Indiana,2016,52314
Ohio,2016,52344
Missouri,2016,51746
Montana,2016,50027
North Carolina,2016,50584
Florida,2016,50860
Idaho,2016,51807
Tennessee,2016,48547
South Carolina,2016,49501
Oklahoma,2016,49176
Kentucky,2016,46659
Alabama,2016,46257
New Mexico,2016,46748
Louisiana,2016,45146
Arkansas,2016,44334
Mississippi,2016,41754
West Virginia,2016,43385
Puerto Rico,2016,20078
District of Columbia,2015,75628
Maryland,2015,75847
New Jersey,2015,72222
Hawaii,2015,73486
Massachusetts,2015,70628
Connecticut,2015,71346
New Hampshire,2015,70303
Alaska,2015,73355
California,2015,64500
Virginia,2015,66262
Washington,2015,64129
Colorado,2015,63909
Minnesota,2015,63488
Utah,2015,62912
New York,2015,60850
Rhode Island,2015,58073
Illinois,2015,59588
Delaware,2015,61255
North Dakota,2015,60557
Wyoming,2015,60214
United States,2015,55775
Oregon,2015,54148
Nebraska,2015,54996
Wisconsin,2015,55638
Texas,2015,55653
Pennsylvania,2015,55702
Iowa,2015,54736
Nevada,2015,52431
Vermont,2015,56990
Arizona,2015,51492
South Dakota,2015,53017
Kansas,2015,53906
Georgia,2015,51244
Maine,2015,51494
Michigan,2015,51084
Indiana,2015,50532
Ohio,2015,51075
Missouri,2015,50238
Montana,2015,49509
North Carolina,2015,47830
Florida,2015,49426
Idaho,2015,48275
Tennessee,2015,47275
South Carolina,2015,47238
Oklahoma,2015,48568
Kentucky,2015,45215
Alabama,2015,44765
New Mexico,2015,45382
Louisiana,2015,45727
Arkansas,2015,41995
Mississippi,2015,40593
West Virginia,2015,42019
Puerto Rico,2015,18626
District of Columbia,2014,71648
Maryland,2014,73971
New Jersey,2014,71919
Hawaii,2014,69592
Massachusetts,2014,69160
Connecticut,2014,70048
New Hampshire,2014,66532
Alaska,2014,71583
California,2014,61933
Virginia,2014,64902
Washington,2014,61366
Colorado,2014,61303
Minnesota,2014,61481
Utah,2014,60922
New York,2014,58878
Rhode Island,2014,54891
Illinois,2014,57444
Delaware,2014,59716
North Dakota,2014,59029
Wyoming,2014,57055
United States,2014,53657
Oregon,2014,51075
Nebraska,2014,52686
Wisconsin,2014,52622
Texas,2014,53035
Pennsylvania,2014,53234
Iowa,2014,53712
Nevada,2014,51450
Vermont,2014,54166
Arizona,2014,50068
South Dakota,2014,50979
Kansas,2014,52504
Georgia,2014,49321
Maine,2014,49462
Michigan,2014,49847
Indiana,2014,49446
Ohio,2014,49308
Missouri,2014,48363
Montana,2014,46328
North Carolina,2014,46556
Florida,2014,47463
Idaho,2014,47861
Tennessee,2014,44361
South Carolina,2014,45238
Oklahoma,2014,47529
Kentucky,2014,42958
Alabama,2014,42830
New Mexico,2014,44803
Louisiana,2014,44555
Arkansas,2014,41262
Mississippi,2014,39680
West Virginia,2014,41059
Puerto Rico,2014,18928
District of Columbia,2013,67572
Maryland,2013,72483
New Jersey,2013,70165
Hawaii,2013,68020
Massachusetts,2013,66768
Connecticut,2013,67098
New Hampshire,2013,64230
Alaska,2013,72237
California,2013,60190
Virginia,2013,62666
Washington,2013,58405
Colorado,2013,58823
Minnesota,2013,60702
Utah,2013,59770
New York,2013,57369
Rhode Island,2013,55902
Illinois,2013,56210
Delaware,2013,57846
North Dakota,2013,55759
Wyoming,2013,58752
United States,2013,52250
Oregon,2013,50251
Nebraska,2013,51440
Wisconsin,2013,51467
Texas,2013,51704
Pennsylvania,2013,52007
Iowa,2013,52229
Nevada,2013,51230
Vermont,2013,52578
Arizona,2013,48510
South Dakota,2013,48947
Kansas,2013,50972
Georgia,2013,47829
Maine,2013,46974
Michigan,2013,48273
Indiana,2013,47529
Ohio,2013,48081
Missouri,2013,46931
Montana,2013,46972
North Carolina,2013,45906
Florida,2013,46036
Idaho,2013,46783
Tennessee,2013,44297
South Carolina,2013,44163
Oklahoma,2013,45690
Kentucky,2013,43399
Alabama,2013,42849
New Mexico,2013,43872
Louisiana,2013,44164
Arkansas,2013,40511
Mississippi,2013,37963
West Virginia,2013,41253
